Date,Open,High,Low,Close,Adj Close,Volume
2011-08-10,1.36875,1.40625,1.33625,1.40625,0.5410189999999999,6815200.0
2011-08-11,1.405,1.56125,1.38875,1.56125,0.6006520000000001,4020800.0
2011-08-12,1.56,1.655,1.51125,1.64875,0.634315,3827200.0
2011-08-15,1.61375,1.68625,1.61375,1.6725,0.643452,1964800.0
2011-08-16,1.63125,1.6625,1.56625,1.6425,0.6319100000000001,2102400.0
2011-08-17,1.6425,1.6725,1.62625,1.6525,0.635758,2388800.0
2011-08-18,1.62375,1.65875,1.5075,1.65875,0.638162,2326400.0
2011-08-19,1.61625,1.65125,1.58625,1.605,0.617483,4208000.0
2011-08-22,1.6075,1.6425,1.57125,1.5975,0.614598,1883200.0
2011-08-23,1.58875,1.6075,1.57125,1.59,0.611712,2248800.0
2011-08-24,1.5975,1.5975,1.54125,1.5625,0.601132,2359200.0
2011-08-25,1.58375,1.62125,1.50875,1.5375,0.591514,1754400.0
2011-08-26,1.5125,1.5425,1.475,1.4875,0.572278,3184800.0
2011-08-29,1.495,1.52125,1.4875,1.51875,0.5843010000000001,5568000.0
2011-08-30,1.50125,1.5625,1.5,1.54375,0.593919,4082400.0
2011-08-31,1.55625,1.6125,1.55625,1.60625,0.6179640000000001,7825600.0
2011-09-01,1.71875,1.75,1.66375,1.74625,0.671826,11795200.0
2011-09-02,1.72625,1.79875,1.675,1.775,0.682886,8413600.0
2011-09-05,1.775,1.775,1.7,1.7675,0.680001,4331200.0
2011-09-06,1.73375,1.83625,1.70375,1.83625,0.706451,4868800.0
2011-09-08,1.8275,1.8975,1.7925,1.82375,0.701642,5309600.0
2011-09-09,1.82375,1.83,1.72125,1.8,0.692505,3350400.0
2011-09-12,1.75,1.81875,1.73375,1.81875,0.6997180000000001,3667200.0
2011-09-13,1.8225,1.8575,1.76375,1.78125,0.685291,3203200.0
2011-09-14,1.81,1.81625,1.7025,1.75,0.673268,6747200.0
2011-09-15,1.78125,1.80625,1.71875,1.74875,0.672787,3014400.0
2011-09-16,1.73875,1.785,1.7125,1.725,0.66365,7552000.0
2011-09-19,1.7125,1.74625,1.69875,1.72875,0.665093,2564800.0
2011-09-20,1.725,1.73625,1.6875,1.6875,0.649223,3590400.0
2011-09-21,1.695,1.7125,1.6275,1.6375,0.629987,4501600.0
2011-09-22,1.55625,1.6,1.4825,1.52375,0.586224,5338400.0
2011-09-23,1.5175,1.54375,1.46125,1.5125,0.581896,6208000.0
2011-09-26,1.54875,1.55,1.5,1.5225,0.585743,3965600.0
2011-09-27,1.55625,1.575,1.52,1.56125,0.6006520000000001,3270400.0
2011-09-28,1.56,1.5625,1.52,1.5375,0.591514,2972000.0
2011-09-29,1.5325,1.54625,1.51875,1.51875,0.5843010000000001,3888000.0
2011-09-30,1.50875,1.50875,1.4375,1.4675,0.564584,7634400.0
2011-10-03,1.45625,1.47375,1.40125,1.4025,0.5395760000000001,4407200.0
2011-10-04,1.3875,1.4225,1.3825,1.39875,0.538134,3710400.0
2011-10-05,1.42375,1.45125,1.38375,1.43125,0.550637,2360000.0
2011-10-06,1.4625,1.4675,1.39875,1.45,0.557851,2756800.0
2011-10-07,1.45,1.47375,1.385,1.4,0.538615,3243200.0
2011-10-10,1.4125,1.45,1.41125,1.45,0.557851,3559200.0
2011-10-11,1.43875,1.46875,1.4125,1.45625,0.5602550000000001,4524000.0
2011-10-13,1.44125,1.4975,1.4275,1.4975,0.576125,5843200.0
2011-10-14,1.4875,1.53,1.47125,1.53,0.588629,5612800.0
2011-10-17,1.525,1.5275,1.48125,1.49375,0.5746829999999999,4191200.0
2011-10-18,1.525,1.5275,1.48125,1.49375,0.5746829999999999,4191200.0
2011-10-19,1.525,1.58625,1.515,1.55625,0.5987279999999999,7368000.0
2011-10-20,1.54875,1.5625,1.53,1.55875,0.59969,4603200.0
2011-10-21,1.55875,1.5775,1.54625,1.55875,0.59969,4386400.0
2011-10-24,1.565,1.5825,1.55875,1.5675,0.603056,3932000.0
2011-10-25,1.565,1.5825,1.55875,1.5675,0.603056,3932000.0
2011-10-26,1.56625,1.57625,1.515,1.5525,0.5972850000000001,3464000.0
2011-10-27,1.56875,1.575,1.5375,1.575,0.605942,5026400.0
2011-10-28,1.63125,1.6475,1.6,1.61875,0.6227729999999999,8462400.0
2011-10-31,1.62375,1.68125,1.61125,1.675,0.644414,4533600.0
2011-11-01,1.605,1.625,1.5625,1.6,0.61556,2656800.0
2011-11-03,1.61875,1.64875,1.61875,1.64375,0.632391,4085600.0
2011-11-04,1.6425,1.655,1.59375,1.62375,0.6246970000000001,3130400.0
2011-11-07,1.64,1.68125,1.60375,1.65625,0.6372,6347200.0
2011-11-08,1.64625,1.6875,1.615,1.63125,0.627582,10498400.0
2011-11-09,1.60625,1.61375,1.56375,1.575,0.605942,6007200.0
2011-11-10,1.5775,1.6225,1.57,1.5875,0.610751,3008000.0
2011-11-11,1.5725,1.5725,1.44375,1.48125,0.569873,14832800.0
2011-11-14,1.485,1.49375,1.41625,1.42375,0.547752,8267200.0
2011-11-16,1.42375,1.42375,1.375,1.38125,0.531401,9675200.0
2011-11-17,1.39,1.415,1.37625,1.3875,0.533806,7719200.0
2011-11-18,1.4,1.41125,1.38875,1.395,0.536691,3747200.0
2011-11-21,1.39375,1.39375,1.3125,1.3125,0.504951,5280800.0
2011-11-22,1.325,1.3375,1.24875,1.24875,0.480425,7166400.0
2011-11-23,1.24625,1.2475,1.2025,1.23,0.473211,5364800.0
2011-11-24,1.23875,1.2725,1.23875,1.25,0.48090600000000006,4160000.0
2011-11-25,1.25,1.2675,1.2375,1.24625,0.47946300000000003,2963200.0
2011-11-28,1.27375,1.295,1.26875,1.2875,0.49533299999999997,3673600.0
2011-11-29,1.29125,1.29125,1.26625,1.2875,0.49533299999999997,1912000.0
2011-11-30,1.29125,1.36875,1.29125,1.3625,0.524188,17271200.0
2011-12-01,1.45,1.49,1.415,1.47375,0.566988,21301600.0
2011-12-02,1.4875,1.5075,1.41,1.43625,0.552561,9527200.0
2011-12-05,1.45,1.47125,1.395,1.4,0.538615,6386400.0
2011-12-06,1.3975,1.40375,1.3625,1.3625,0.524188,4663200.0
2011-12-07,1.3625,1.37375,1.33875,1.34375,0.5169739999999999,3118400.0
2011-12-08,1.35875,1.365,1.295,1.3,0.500142,2450400.0
