Date,Open,High,Low,Close,Adj Close,Volume
2002-06-06,63.434799,74.629204,63.434799,74.554604,72.15634200000001,1.0
2002-06-07,71.643997,73.136597,71.643997,73.136597,70.783951,0.0
2002-06-10,70.897697,74.629204,70.897697,74.629204,72.228554,3.0
2002-06-11,74.554604,74.554604,72.390297,73.061996,70.711761,0.0
2002-06-12,72.017197,72.390297,70.897697,72.390297,70.061661,2.0
2002-06-13,72.390297,72.390297,70.15149699999999,72.390297,70.061661,0.0
2002-06-14,72.390297,72.390297,68.061798,70.15149699999999,67.894875,0.0
2002-06-17,67.166298,70.897697,67.166298,70.897697,68.617073,0.0
2002-06-18,67.166298,70.897697,67.166298,70.897697,68.617073,1.0
2002-06-19,67.166298,70.15149699999999,67.166298,70.15149699999999,67.894875,1.0
2002-06-20,67.240898,67.240898,67.166298,67.166298,65.005707,0.0
2002-06-21,65.300598,65.300598,61.867599,65.300598,63.200024,0.0
2002-06-24,65.300598,65.673698,63.434799,64.554298,62.47773000000001,2.0
2002-06-25,64.554298,66.046898,63.360199,64.927399,62.838829000000004,5.0
2002-06-26,59.7034,64.181099,59.7034,64.181099,62.11653100000001,0.0
2002-06-27,64.181099,65.673698,64.181099,65.673698,63.561122999999995,4.0
2002-06-28,65.673698,70.15149699999999,65.673698,70.15149699999999,67.894875,0.0
2002-07-01,63.434799,67.166298,63.434799,67.166298,65.005707,0.0
2002-07-02,63.509399,67.091698,63.509399,67.091698,64.933502,0.0
2002-07-03,65.599098,67.091698,65.599098,67.091698,64.933502,0.0
2002-07-04,64.255798,67.091698,64.255798,67.091698,64.933502,0.0
2002-07-05,64.181099,66.41999799999999,64.181099,64.927399,62.838829000000004,2.0
2002-07-08,64.927399,66.41999799999999,64.927399,66.41999799999999,64.28340899999999,0.0
2002-07-09,89.0,89.0,89.0,89.0,86.137062,0.0
2002-07-10,66.41999799999999,66.494598,65.673698,66.046898,63.922318000000004,1.0
2002-07-11,65.97219799999999,69.405197,65.97219799999999,67.240898,65.077904,2.0
2002-07-12,66.643898,69.33049799999999,66.643898,69.33049799999999,67.100288,0.0
2002-07-15,67.166298,67.166298,67.091698,67.166298,65.005707,0.0
2002-07-16,65.001999,65.001999,65.001999,65.001999,62.911026,0.0
2002-07-17,69.405197,74.629204,67.166298,69.405197,67.172577,2.0
2002-07-18,68.21109799999999,69.405197,68.21109799999999,69.405197,67.172577,0.0
2002-07-19,68.658897,68.658897,66.41999799999999,67.166298,65.005707,1.0
2002-07-22,67.166298,67.166298,65.001999,65.001999,62.911026,0.0
2002-07-23,63.434799,63.434799,61.9422,63.434799,61.394241,1.0
